date,env_name,release,outcome,is_rollback,lead_time_days,duration_s,actor,source
2025-08-15,staging,Verdigris-25,success,False,9.94,2279,release,reporter
2025-09-05,staging,Umbra-24,success,False,2.41,1713,release,reporter
2025-09-20,staging,Thicket-23,success,False,6.19,2527,release,reporter
2025-10-06,staging,Saltmarsh-22,success,False,4.12,1114,release,reporter
2025-10-18,staging,Rookery-21,success,False,13.48,902,release,reporter
2025-10-28,staging,Quarry-20,success,False,12.08,2483,release,reporter
2025-11-07,staging,Pilgrim-19,success,False,11.08,2540,release,reporter
2025-11-25,staging,Orchid-18,success,False,5.11,1187,release,reporter
2025-12-12,staging,Nocturne-17,success,False,4.67,1840,release,reporter
2026-01-01,staging,Meridian-16,success,False,13.95,1240,release,reporter
2026-01-18,staging,Lantern-15,success,False,9.69,2566,release,reporter
2026-02-03,staging,Kingfisher-14,success,False,1.56,1248,release,reporter
2026-02-19,staging,Yarrow-13,success,False,4.42,2104,release,reporter
2026-03-08,staging,Wend-12,success,False,7.01,1700,release,reporter
2026-03-22,staging,Verdigris-11,failure,False,9.00,2800,release,reporter
2026-04-03,staging,Umbra-10,success,False,2.24,1679,release,reporter
2026-04-13,staging,Thicket-9,success,False,1.69,3064,release,reporter
2026-05-01,staging,Saltmarsh-8,success,False,10.74,1545,release,reporter
2026-05-20,staging,Rookery-7,success,False,13.78,2755,release,reporter
2026-06-07,staging,Quarry-6,success,False,8.23,1071,release,reporter
2026-06-17,staging,Pilgrim-5,success,False,7.08,1480,release,reporter
2026-06-27,staging,Orchid-4,success,True,9.37,1662,release,reporter
2026-07-13,staging,Nocturne-3,failure,False,3.81,2996,release,reporter
2026-07-25,staging,Meridian-2,success,False,7.85,3305,release,reporter
2026-08-10,staging,Lantern-1,success,False,13.05,2807,release,reporter
2026-09-01,staging,Kingfisher-0,success,False,7.15,3192,release,reporter
